"Name of Item";"price";"old Price";"link of Item";"sizes";"max Quantity";"rating";" parameters"
"KOMPUTER Intel Core i7 RAM 16GB SSD 480GB WIN10";"1 589.00 zł";"2199.00 zł";"https://allegro.pl/oferta/komputer-intel-core-i7-ram-16gb-ssd-480gb-win10-8992338684";"without";"5";"4.96(23 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Stan:Nowy; Model:vist; Monitor:brak; System operacyjny:Windows 10 Professional; Seria procesora:Intel Core i7; Taktowanie maksymalne procesora:3.8 GHz; Typ pamięci RAM:DDR3; Wielkość pamięci RAM:16 GB; Typ dysku twardego:SSD; Pojemność dysku:480 GB; Rodzaj karty graficznej:zintegrowana; Złącza karty graficznej:HDMI VGA (D-Sub); Złącza zewnętrzne płyty głównej:USB 2.0 typ A USB 3.0 typ A mini jack 35 (audio) RJ45; Typ obudowy:Tower; Złącza obudowy:USB 2.0 typ A USB 3.0 typ A mini jack 35 (audio); "
"KOMPUTER DO GIER I7 16GB 512+1000 GTX 1650 ZESTAW";"2 649.00 zł";"3599.00 zł";"https://allegro.pl/oferta/komputer-do-gier-i7-16gb-512-1000-gtx-1650-zestaw-9220939337";"without";"37";"no";"Faktura:Wystawiam fakturę VAT; Stan:Używany; Model:P720; Monitor:brak; System operacyjny:Windows 10 Professional; Model procesora:i7-4770s; Taktowanie maksymalne procesora:3.9 GHz; Typ pamięci RAM:DDR3; Wielkość pamięci RAM:16 GB; Typ dysku twardego:HDD + SSD; Interfejs dysku twardego:SATA III; Rodzaj karty graficznej:dedykowana; Pamięć karty graficznej:4 GB; Złącza karty graficznej:DisplayPort DVI-D HDMI; Gniazda rozszerzeń:PCIe 1.0 x1 PCIe 2.0 x4 PCIe 3.0 x16; Typ obudowy:Midi Tower; Złącza obudowy:USB 2.0 typ A mini jack 35 (audio); "
"RGB DO GIER Core i7 RTX 2060 32GB SSD 480 +2TB W10";"3 699.00 zł";"5499.00 zł";"https://allegro.pl/oferta/rgb-do-gier-core-i7-rtx-2060-32gb-ssd-480-2tb-w10-8979322262";"2480 GB;32 GB";"5";"4.81(32 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Stan:Nowy; Model:VISTPC; Monitor:brak; Komunikacja:LAN 10/100/1000 Mbps; Model procesora:Intel Core i7-2600; Taktowanie maksymalne procesora:3.8 GHz; Typ pamięci RAM:DDR3; Taktowanie szyny pamięci RAM:1600 MHz; Typ dysku twardego:HDD + SSD; Interfejs dysku twardego:SATA III; Rodzaj karty graficznej:dedykowana; Pamięć karty graficznej:6 GB; Złącza karty graficznej:DisplayPort DVI-D HDMI; Gniazda rozszerzeń:PCIe 3.0 x1 PCIe 3.0 x16 SATA III (6 GB/s); Typ obudowy:Midi Tower; Złącza obudowy:USB 2.0 typ A USB 3.0 typ A mini jack 35 (audio); "
"ZESTAW DO GIER I5 8GB 1TB Geforce GT Monitor 24LED";"1 899.00 zł";"2499.00 zł";"https://allegro.pl/oferta/zestaw-do-gier-i5-8gb-1tb-geforce-gt-monitor-24led-9447320014";"GeForce GT 710;GeForce GT 1030;GeForce GTX 1050 Ti;GeForce GTX 1060;GeForce GTX 1660;GeForce GTX 1660 SUPER;dedykowana";"23";"4.95(19 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Stan:Nowy; Typ komputera:komputer stacjonarny; Monitor:LED; Komunikacja:Wi-Fi; Model procesora:i5 2400; Taktowanie maksymalne procesora:3.4 GHz; Typ pamięci RAM:DDR3; Wielkość pamięci RAM:8 GB; Typ dysku twardego:HDD; Interfejs dysku twardego:SATA III; Rodzaj karty graficznej:dedykowana; Pamięć karty graficznej:2 GB; Złącza karty graficznej:DisplayPort HDMI; Gniazda rozszerzeń:PCIe 3.0 x16 SATA III (6 GB/s); Typ obudowy:Mini Tower; Złącza obudowy:USB 2.0 typ A mini jack 35 (audio); "
"Komputer do GIER I5 8GB 500GB NVIDIA GEFORCE GT710";"1 099.00 zł";"1699.00 zł";"https://allegro.pl/oferta/komputer-do-gier-i5-8gb-500gb-nvidia-geforce-gt710-9470670288";"without";"17";"no";"Faktura:Wystawiam fakturę VAT; Stan:Odnowiony przez sprzedawcę; Typ komputera:komputer stacjonarny; Monitor:brak; Moc zasilacza:400 W; Model procesora:i5 750; Taktowanie maksymalne procesora:3.2 GHz; Typ pamięci RAM:DDR3; Wielkość pamięci RAM:8 GB; Typ dysku twardego:HDD; Interfejs dysku twardego:SATA III; Rodzaj karty graficznej:dedykowana; Pamięć karty graficznej:2 GB; Złącza karty graficznej:DVI HDMI; Gniazda rozszerzeń:SATA III (6 GB/s); Typ obudowy:Mini Tower; Złącza obudowy:USB 2.0 typ A mini jack 35 (audio); "
"Zestaw PC do GIER! I5 GT 710 8GB Win10 Monitor 22'";"1 379.00 zł";"1899.00 zł";"https://allegro.pl/oferta/zestaw-pc-do-gier-i5-gt-710-8gb-win10-monitor-22-9626531769";"GeForce GT 710;GeForce GT 1030";"9";"no";"Faktura:Wystawiam fakturę VAT-marża; Stan:Odnowiony przez sprzedawcę; Model:Passion V5; Wysokość produktu:41.2 cm; Waga produktu:12 kg; Monitor:LED; Komunikacja:LAN 10/100/1000 Mbps; Model procesora:i5 2310; Taktowanie maksymalne procesora:3.2 GHz; Typ pamięci RAM:DDR3; Maksymalna pojemność pamięci RAM:16 GB; Typ dysku twardego:HDD; Pojemność dysku:500 GB; Rodzaj karty graficznej:dedykowana; Pamięć karty graficznej:2 GB; Złącza karty graficznej:DVI-I HDMI VGA; Producent płyty głównej:ASUS; Chipset płyty głównej:inny; Typ obudowy:Midi Tower; "
"DO GIER 12 RDZENI AMD 3200G_VGA Vega 8 _8GB _SSD_";"1 299.00 zł";"1800.00 zł";"https://allegro.pl/oferta/do-gier-12-rdzeni-amd-3200g-vga-vega-8-8gb-ssd-9150559038";"without";"1877";"4.80(41 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Stan:Nowy; Typ komputera:komputer stacjonarny; Waga (z opakowaniem):10 kg; Monitor:brak; Komunikacja:LAN 10/100/1000 Mbps; System operacyjny:Windows 10 Home Windows 10 Professional inny; Model procesora:Ryzen 3 3200G; Taktowanie maksymalne procesora:3.6 GHz; Typ pamięci RAM:DDR4; Maksymalna pojemność pamięci RAM:32 GB; Typ dysku twardego:SSD; Interfejs dysku twardego:SATA III; Rodzaj karty graficznej:zintegrowana; Pamięć karty graficznej:współdzielona; Gniazda rozszerzeń:PCIe 2.0 x1 PCIe 3.0 x16 SATA III (6 GB/s) inne; Typ obudowy:Midi Tower; Złącza obudowy:USB 2.0 typ A USB 3.0 typ A mini jack 35 (audio); "
"Komputer do GIER! i7 GTX 1660 SUPER 16GB SSD";"3 399.00 zł";"5399.00 zł";"https://allegro.pl/oferta/komputer-do-gier-i7-gtx-1660-super-16gb-ssd-9648972812";"LED;brak;HDD;SSD";"140";"no";"Faktura:Wystawiam fakturę VAT; Stan:Odnowiony przez sprzedawcę; Model:GZi71660S; Waga (z opakowaniem):17 kg; Monitor:brak; System operacyjny:Windows 10 Home; Model procesora:2600; Liczba rdzeni procesora:4; Typ pamięci RAM:DDR3; Wielkość pamięci RAM:16 GB; Typ dysku twardego:SSD; Pojemność dysku:500 GB; Rodzaj karty graficznej:dedykowana; Pamięć karty graficznej:6 GB; Złącza zewnętrzne płyty głównej:USB 2.0 typ A mini jack 35 (audio) RJ45 PS/2; Typ obudowy:Midi Tower; Złącza obudowy:USB 2.0 typ A mini jack 35 (audio); "
"GAMINGOWY_RYZEN 7 2700X_16GB_RTX 2060_SSD_RGB";"3 749.00 zł";"4699.00 zł";"https://allegro.pl/oferta/gamingowy-ryzen-7-2700x-16gb-rtx-2060-ssd-rgb-9679629365";"GeForce GTX 1650 SUPER;GeForce GTX 1660 SUPER;GeForce RTX 2060;GeForce RTX 2060 Super;GeForce RTX 2070 Super;GeForce RTX 2080 Super;Radeon RX 5700 XT;4.1 GHz;4.3 GHz";"16";"5.00(3 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Stan:Nowy; Typ komputera:komputer stacjonarny; Waga (z opakowaniem):15 kg; Typ napędu:brak; Komunikacja:LAN 10/100/1000 Mbps; Model procesora:AMD Ryzen 7 2700X; Taktowanie maksymalne procesora:4.3 GHz; Typ pamięci RAM:DDR4; Taktowanie szyny pamięci RAM:3200 MHz; Typ dysku twardego:SSD; Pojemność dysku:512 GB; Rodzaj karty graficznej:dedykowana; Pamięć karty graficznej:6 GB; Złącza karty graficznej:DisplayPort HDMI; Gniazda rozszerzeń:PCIe 3.0/2.0 x1 PCIe 3.0/2.0 x16; Typ obudowy:Midi Tower; Złącza obudowy:USB 3.0 typ A mini jack 35 (audio); "
"Zestaw Gamingowy! Intel i7 RX580-8GB RAM-16GB";"3 299.00 zł";"5299.00 zł";"https://allegro.pl/oferta/zestaw-gamingowy-intel-i7-rx580-8gb-ram-16gb-9045621673";"Intel Core i5;Intel Core i7";"96";"no";"Faktura:Wystawiam fakturę VAT; Stan:Odnowiony przez sprzedawcę; Typ komputera:komputer stacjonarny; Waga produktu:14 kg; Waga (z opakowaniem):17 kg; Monitor:LED; System operacyjny:Windows 10 Home; Komunikacja:Wi-Fi LAN 10/100/1000 Mbps; Model procesora:2600; Taktowanie maksymalne procesora:3.8 GHz; Typ pamięci RAM:DDR3; Wielkość pamięci RAM:16 GB; Typ dysku twardego:HDD; Interfejs dysku twardego:SATA III; Rodzaj karty graficznej:dedykowana; Pamięć karty graficznej:8 GB; Złącza karty graficznej:DisplayPort DVI-D HDMI; Chipset płyty głównej:Intel H310; Złącza zewnętrzne płyty głównej:USB 2.0 typ A mini jack 35 (audio) RJ45 PS/2 HDMI; Typ obudowy:Midi Tower; Złącza obudowy:USB 2.0 typ A USB 3.0 typ A mini jack 35 (audio); "
