"Name of Item";"price";"old Price";"link of Item";"sizes";"max Quantity";"rating";" parameters"
"KAMIZELKA MĘSKA BEZRĘKAWNIK PODGRZEWANA USB XL";"125.99 zł";"139.99 zł";"https://allegro.pl/oferta/kamizelka-meska-bezrekawnik-podgrzewana-usb-xl-9760375335";"without";"858";"no";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Marka:inna; Rozmiar:XL; Materiał dominujący:inny; Wzór dominujący:bez wzoru; Zapięcie:zamek; Kolor:czarny czerwony granatowy; "
"SPODNIE DRESOWE JOGGERY CZARNE ux1293 - XL";"27.99 zł";"59.99 zł";"https://allegro.pl/oferta/spodnie-dresowe-joggery-czarne-ux1293-xl-8121532866";"M;L;XL;XXL";"1965";"4.60(613 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XL; Kolor:czarny; Wzór dominujący:bez wzoru; Długość nogawki:długa; Materiał dominujący:bawełna; Cechy dodatkowe:brak; Zapięcie:wiązanie; :"
"Męskie SPODNIE DRESOWE JOGGERY zamek #532 r. L";"29.80 zł";"50.00 zł";"https://allegro.pl/oferta/meskie-spodnie-dresowe-joggery-zamek-532-r-l-9507480663";"M;L;XL;XXL";"9533";"4.88(24 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:L; Kolor:czarny; Wzór dominujący:bez wzoru; Długość nogawki:długa; Materiał dominujący:bawełna; Cechy dodatkowe:zamki; Model:ściągacz w kostce dresy sportowe bawełniane; Skład materiałowy:65% Bawełna 35% poliester; "
"MĘSKIE SPODNIE DRESOWE JOGGERY SZARE ux2241-L";"28.00 zł";"79.99 zł";"https://allegro.pl/oferta/meskie-spodnie-dresowe-joggery-szare-ux2241-l-8840358217";"M;L;XL;XXL";"737";"4.55(85 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:L; Kolor:szary; Wzór dominujący:bez wzoru; Długość nogawki:długa; Materiał dominujący:bawełna; Cechy dodatkowe:brak; Zapięcie:wiązanie; :"
"MĘSKA KURTKA PIKOWANA BOMBERKA TOMY RELAX KOLORY";"99.97 zł";"130.00 zł";"https://allegro.pl/oferta/meska-kurtka-pikowana-bomberka-tomy-relax-kolory-9668413276";"M;L;XL;XXL";"3";"4.00(1 ocena produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XL; Kolor:czarny; Rodzaj:bomber; Kaptur:bez kaptura; Długość:do bioder; Wypełnienie:nie dotyczy; Wzór dominujący:bez wzoru; Materiał dominujący:bawełna; Zapięcie:zamek; Cechy dodatkowe:pikowanie z podszewką; "
"NIEMIECKI MĘSKI BEZRĘKAWNIK PUCHOWY LEKKI DMAX";"40.49 zł";"199.99 zł";"https://allegro.pl/oferta/niemiecki-meski-bezrekawnik-puchowy-lekki-dmax-9330931783";"M;L";"71";"4.67(36 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:L; Kolor:granatowy; Wzór dominujący:bez wzoru; Materiał dominujący:poliester; Liczba kieszeni:2; Zapięcie:zamek; Długość całkowita:70 cm; Szerokość pod pachami:60 cm; Nazwa koloru producenta:NAVY; :"
"BLUZA MĘSKA ROZPINANA CZARNA bx2192 - XXL";"39.99 zł";"69.99 zł";"https://allegro.pl/oferta/bluza-meska-rozpinana-czarna-bx2192-xxl-8092194117";"M;L;XL;XXL";"635";"4.77(194 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XXL; Kolor:czarny; Wzór dominujący:bez wzoru; Dekolt:okrągły; Rękaw:długi rękaw; Zapięcie:zamek; Materiał dominujący:bawełna; Rodzaj:rozpinane z kapturem; "
"SPODNIE DRESOWE MĘSKIE JOGGERY DRESY TOMY JAKOŚĆ";"89.94 zł";"110.00 zł";"https://allegro.pl/oferta/spodnie-dresowe-meskie-joggery-dresy-tomy-jakosc-9551156401";"M;L;XL;XXL";"89";"5.00(1 ocena produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Marka:inna; Rozmiar:XXL; Kolor:granatowy; Wzór dominujący:bez wzoru; Długość nogawki:długa; Materiał dominujący:bawełna; Cechy dodatkowe:brak; :"
"MĘSKA KURTKA PRZECIWDESZCZOWA Z KAPTUREM 4KOL XL";"97.70 zł";"108.56 zł";"https://allegro.pl/oferta/meska-kurtka-przeciwdeszczowa-z-kapturem-4kol-xl-9637188684";"XL";"888";"3.00(1 ocena produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XL; Rodzaj:inny; Kaptur:bez kaptura; Długość:do pasa; Wypełnienie:nie dotyczy; Wzór dominujący:bez wzoru; Materiał dominujący:inny; Zapięcie:zamek; Cechy dodatkowe:brak; Kolor:biały czarny czerwony niebieski szary żółty; "
"it677-8 roz. 31 Spodnie ze Ściągaczami JOGGERY";"79.00 zł";"99.00 zł";"https://allegro.pl/oferta/it677-8-roz-31-spodnie-ze-sciagaczami-joggery-9520636524";"30;31;33;34;36;38";"40";"4.80(5 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:31; Kolor:granatowy; Wzór dominujący:bez wzoru; Fason:baggy; Długość nogawki:długa; Zapięcie:zamek; Materiał dominujący:bawełna; Cechy dodatkowe:mankiet; Liczba kieszeni:6; :"
