"Name of Item";"price";"old Price";"link of Item";"sizes";"max Quantity";"rating";" parameters"
"KFD D3 + K2 MK-7 - 200 kapsułek";"16.98 zł";"26.99 zł";"https://allegro.pl/oferta/kfd-d3-k2-mk-7-200-kapsulek-6986531690";"without";"50367";"4.91(6963 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:200 szt.; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"OstroVit Vitamin D3 4000 + K2 100 tabs K2MK-7";"12.90 zł";"25.00 zł";"https://allegro.pl/oferta/ostrovit-vitamin-d3-4000-k2-100-tabs-k2mk-7-7723841449";"without";"100";"4.91(3339 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:100 szt.; Przeznaczenie:dla kobiet dla mężczyzn dla sportowców; "
"WITAMINA C W PROSZKU 100% KWAS L-ASKORBINOWY 1Kg";"28.99 zł";"49.99 zł";"https://allegro.pl/oferta/witamina-c-w-proszku-100-kwas-l-askorbinowy-1kg-7760543083";"without";"84250";"4.91(2714 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:Wish Pharmaceutical; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"SFD VITA MIN C 1000 90TAB+BIOFLAWONOIDY WITAMINA";"16.98 zł";"29.99 zł";"https://allegro.pl/oferta/sfd-vita-min-c-1000-90tab-bioflawonoidy-witamina-6652486597";"without";"15937";"4.87(948 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:SFD; Przeznaczenie:dla kobiet dla kobiet w ciąży dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"OstroVit Ashwagandha VEGE 60 caps 700mg MEGA SILNA";"19.90 zł";"39.90 zł";"https://allegro.pl/oferta/ostrovit-ashwagandha-vege-60-caps-700mg-mega-silna-8438499224";"without";"100";"4.88(925 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:60 szt.; Cechy dodatkowe:wegański wegetariański; "
"OstroVit ADEK 200 tabs WITAMINA ADEK MAX DAWKA";"14.90 zł";"25.90 zł";"https://allegro.pl/oferta/ostrovit-adek-200-tabs-witamina-adek-max-dawka-8944263593";"without";"100";"4.93(575 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Postać:tabletki; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"OstroVit BIOTIN PLUS 100 tabs BIOTYNA CYNK WŁOSY";"11.90 zł";"15.90 zł";"https://allegro.pl/oferta/ostrovit-biotin-plus-100-tabs-biotyna-cynk-wlosy-8944142586";"without";"100";"4.88(477 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Postać:tabletki; Cechy dodatkowe:bez cukru bez jodu bezalkoholowy; "
"SFD CHROM 200tab PIKOLINIAN ODCHUDZANIE METABOLIZM";"13.99 zł";"22.99 zł";"https://allegro.pl/oferta/sfd-chrom-200tab-pikolinian-odchudzanie-metabolizm-9560892332";"without";"556";"4.91(47 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:inny producent; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy bezglutenowy; "
"OstroVit Vitamin B Complex 90 tabs";"9.90 zł";"14.90 zł";"https://allegro.pl/oferta/ostrovit-vitamin-b-complex-90-tabs-8363634873";"without";"100";"4.90(490 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Postać:tabletki; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców; "
"KFD MELATONIN - 200 Kapsułek - MELATONINA";"8.99 zł";"29.99 zł";"https://allegro.pl/oferta/kfd-melatonin-200-kapsulek-melatonina-7148227361";"without";"81321";"4.84(3319 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:200 szt.; Cechy dodatkowe:bez jodu bez kazeiny bez laktozy bezalkoholowy bezzapachowy chronić przed światłem; "
